quest_id,quest_name,quest_bucket,quest_completion_status,objective_id,objective_slot,objective_type,objective_name,dependency_type,loot_group_id,entity_id,item_type,static_id,probability,min_count,max_count,condition_type,condition_id,comment,evidence_status,completion_status,evidence_sources,manual_validation,blocker_summary
7087,Grim Scavenging ,generic_table_driven,not_retail_complete,13011,1,32,"Collect $m(vitem=265) in <text Link=""Location:26445"">Darkstone's Landing</text>",loot_group,1200000001,,,,100,1,1,8,13011,LaughingWS quest loot: Item for QuestObjective 13011,runtime_virtual_collect_loot_group_delivery_path_tested_pending_source_drop_client_smoke,not_retail_complete,Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Tools/DataMapping/extract_laughingws_quest_loot.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Loot/GlobalLootManager.cs;Source/NexusForever.Game/Loot/LootInstanceItem.cs;Source/NexusForever.Game.Tests/Loot/LootInstanceDeliveryTests.cs,pending,"Reviewed LaughingWS loot_group 1200000001 (LaughingWS quest loot: Item for QuestObjective 13011) is bound to VirtualCollect QuestObjective 13011 for virtual item 265 conditionType 8 condition 13011 probability 100 count 1-1. Generic runtime virtual-item loot delivery updates QuestObjectiveType.VirtualCollect and is covered by LootInstanceDeliveryTests.cs; retail completion still needs proof that this source/drop trigger is produced by the source entity, plus drop cadence, inventory cleanup, and client-visible loot UI smoke."
7087,Grim Scavenging ,generic_table_driven,not_retail_complete,13011,1,32,"Collect $m(vitem=265) in <text Link=""Location:26445"">Darkstone's Landing</text>",loot_item,1200000001,,6,265,100,1,1,8,13011,LaughingWS quest loot: VirtualItem Cold Survival Kit (265) for Quest Objective 13011,runtime_virtual_item_loot_delivery_tested_pending_source_drop_client_smoke,not_retail_complete,Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Tools/DataMapping/extract_laughingws_quest_loot.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Loot/GlobalLootManager.cs;Source/NexusForever.Game/Loot/LootInstanceItem.cs;Source/NexusForever.Game.Tests/Loot/LootInstanceDeliveryTests.cs,pending,"Reviewed quest-loot item for loot_group 1200000001 item type 6 staticId 265 (LaughingWS quest loot: VirtualItem Cold Survival Kit (265) for Quest Objective 13011) probability 100 count 1-1 matches VirtualCollect QuestObjective 13011 data 265. Runtime virtual-item loot delivery updates QuestObjectiveType.VirtualCollect in LootInstanceItem.cs and is test-pinned by LootInstanceDeliveryTests.cs. Retail completion still needs objective-specific source/drop trigger proof, drop chance/count behavior, inventory cleanup/persistence, and client-visible loot validation."
7087,Grim Scavenging ,generic_table_driven,not_retail_complete,13011,1,32,"Collect $m(vitem=265) in <text Link=""Location:26445"">Darkstone's Landing</text>",entity_loot,1200000001,34078,,,,,,8,13011,LaughingWS quest loot: QuestObjective 13011 loot for Cold Survival Kit,runtime_virtual_collect_entity_loot_binding_pending_source_drop_client_smoke,not_retail_complete,Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Tools/DataMapping/extract_laughingws_quest_loot.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Loot/GlobalLootManager.cs;Source/NexusForever.Game/Loot/LootInstanceItem.cs;Source/NexusForever.Game.Tests/Loot/LootInstanceDeliveryTests.cs,pending,"Reviewed entity_loot binding entity 34078 -> loot_group 1200000001 (LaughingWS quest loot: QuestObjective 13011 loot for Cold Survival Kit) is gated by VirtualCollect QuestObjective 13011 conditionType 8 condition 13011 for virtual item 265. The matching VirtualItem delivery path is runtime-tested, but retail completion still needs source entity spawn, drop generation trigger, encounter/objective timing, duplicate/negative cases, and client loot smoke together."
6952,Primal Blades,generic_table_driven,not_retail_complete,12605,1,32,"Collect $m(vitem=190) from the Torine throughout the <text Link=""Location:28381"">Pools of Vitara</text>",loot_group,1200000002,,,,100,1,1,8,12605,LaughingWS quest loot: Item for QuestObjective 12605,runtime_virtual_collect_loot_group_delivery_path_tested_pending_source_drop_client_smoke,not_retail_complete,Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Tools/DataMapping/extract_laughingws_quest_loot.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Loot/GlobalLootManager.cs;Source/NexusForever.Game/Loot/LootInstanceItem.cs;Source/NexusForever.Game.Tests/Loot/LootInstanceDeliveryTests.cs,pending,"Reviewed LaughingWS loot_group 1200000002 (LaughingWS quest loot: Item for QuestObjective 12605) is bound to VirtualCollect QuestObjective 12605 for virtual item 190 conditionType 8 condition 12605 probability 100 count 1-1. Generic runtime virtual-item loot delivery updates QuestObjectiveType.VirtualCollect and is covered by LootInstanceDeliveryTests.cs; retail completion still needs proof that this source/drop trigger is produced by the source entity, plus drop cadence, inventory cleanup, and client-visible loot UI smoke."
6952,Primal Blades,generic_table_driven,not_retail_complete,12605,1,32,"Collect $m(vitem=190) from the Torine throughout the <text Link=""Location:28381"">Pools of Vitara</text>",loot_item,1200000002,,6,190,100,1,1,8,12605,LaughingWS quest loot: VirtualItem Torine Weapon Fragment (190) for Quest Objective 12605,runtime_virtual_item_loot_delivery_tested_pending_source_drop_client_smoke,not_retail_complete,Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Tools/DataMapping/extract_laughingws_quest_loot.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Loot/GlobalLootManager.cs;Source/NexusForever.Game/Loot/LootInstanceItem.cs;Source/NexusForever.Game.Tests/Loot/LootInstanceDeliveryTests.cs,pending,"Reviewed quest-loot item for loot_group 1200000002 item type 6 staticId 190 (LaughingWS quest loot: VirtualItem Torine Weapon Fragment (190) for Quest Objective 12605) probability 100 count 1-1 matches VirtualCollect QuestObjective 12605 data 190. Runtime virtual-item loot delivery updates QuestObjectiveType.VirtualCollect in LootInstanceItem.cs and is test-pinned by LootInstanceDeliveryTests.cs. Retail completion still needs objective-specific source/drop trigger proof, drop chance/count behavior, inventory cleanup/persistence, and client-visible loot validation."
6952,Primal Blades,generic_table_driven,not_retail_complete,12605,1,32,"Collect $m(vitem=190) from the Torine throughout the <text Link=""Location:28381"">Pools of Vitara</text>",entity_loot,1200000002,32523,,,,,,8,12605,LaughingWS quest loot: QuestObjective 12605 loot for Torine Battlemaiden,runtime_virtual_collect_entity_loot_binding_pending_source_drop_client_smoke,not_retail_complete,Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Tools/DataMapping/extract_laughingws_quest_loot.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Loot/GlobalLootManager.cs;Source/NexusForever.Game/Loot/LootInstanceItem.cs;Source/NexusForever.Game.Tests/Loot/LootInstanceDeliveryTests.cs,pending,"Reviewed entity_loot binding entity 32523 -> loot_group 1200000002 (LaughingWS quest loot: QuestObjective 12605 loot for Torine Battlemaiden) is gated by VirtualCollect QuestObjective 12605 conditionType 8 condition 12605 for virtual item 190. The matching VirtualItem delivery path is runtime-tested, but retail completion still needs source entity spawn, drop generation trigger, encounter/objective timing, duplicate/negative cases, and client loot smoke together."
6952,Primal Blades,generic_table_driven,not_retail_complete,12605,1,32,"Collect $m(vitem=190) from the Torine throughout the <text Link=""Location:28381"">Pools of Vitara</text>",entity_loot,1200000002,61450,,,,,,8,12605,LaughingWS quest loot: QuestObjective 12605 loot for Torine Warblade,runtime_virtual_collect_entity_loot_binding_pending_source_drop_client_smoke,not_retail_complete,Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Tools/DataMapping/extract_laughingws_quest_loot.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Loot/GlobalLootManager.cs;Source/NexusForever.Game/Loot/LootInstanceItem.cs;Source/NexusForever.Game.Tests/Loot/LootInstanceDeliveryTests.cs,pending,"Reviewed entity_loot binding entity 61450 -> loot_group 1200000002 (LaughingWS quest loot: QuestObjective 12605 loot for Torine Warblade) is gated by VirtualCollect QuestObjective 12605 conditionType 8 condition 12605 for virtual item 190. The matching VirtualItem delivery path is runtime-tested, but retail completion still needs source entity spawn, drop generation trigger, encounter/objective timing, duplicate/negative cases, and client loot smoke together."
6952,Primal Blades,generic_table_driven,not_retail_complete,12605,1,32,"Collect $m(vitem=190) from the Torine throughout the <text Link=""Location:28381"">Pools of Vitara</text>",entity_loot,1200000002,61451,,,,,,8,12605,LaughingWS quest loot: QuestObjective 12605 loot for Swordmaiden Serci,runtime_virtual_collect_entity_loot_binding_pending_source_drop_client_smoke,not_retail_complete,Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Tools/DataMapping/extract_laughingws_quest_loot.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Loot/GlobalLootManager.cs;Source/NexusForever.Game/Loot/LootInstanceItem.cs;Source/NexusForever.Game.Tests/Loot/LootInstanceDeliveryTests.cs,pending,"Reviewed entity_loot binding entity 61451 -> loot_group 1200000002 (LaughingWS quest loot: QuestObjective 12605 loot for Swordmaiden Serci) is gated by VirtualCollect QuestObjective 12605 conditionType 8 condition 12605 for virtual item 190. The matching VirtualItem delivery path is runtime-tested, but retail completion still needs source entity spawn, drop generation trigger, encounter/objective timing, duplicate/negative cases, and client loot smoke together."
4796,Turn Their Guns,generic_table_driven,not_retail_complete,6700,0,32,"Collect the $(vitem=340) from $(creature=17919) in the <text Link=""Location:27457"">Crimson Base of Operations</text>",loot_group,1200000003,,,,100,1,1,8,6700,LaughingWS quest loot: Item for QuestObjective 6700,runtime_virtual_collect_loot_group_delivery_path_tested_pending_source_drop_client_smoke,not_retail_complete,Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Tools/DataMapping/extract_laughingws_quest_loot.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Loot/GlobalLootManager.cs;Source/NexusForever.Game/Loot/LootInstanceItem.cs;Source/NexusForever.Game.Tests/Loot/LootInstanceDeliveryTests.cs,pending,"Reviewed LaughingWS loot_group 1200000003 (LaughingWS quest loot: Item for QuestObjective 6700) is bound to VirtualCollect QuestObjective 6700 for virtual item 340 conditionType 8 condition 6700 probability 100 count 1-1. Generic runtime virtual-item loot delivery updates QuestObjectiveType.VirtualCollect and is covered by LootInstanceDeliveryTests.cs; retail completion still needs proof that this source/drop trigger is produced by the source entity, plus drop cadence, inventory cleanup, and client-visible loot UI smoke."
4796,Turn Their Guns,generic_table_driven,not_retail_complete,6700,0,32,"Collect the $(vitem=340) from $(creature=17919) in the <text Link=""Location:27457"">Crimson Base of Operations</text>",loot_item,1200000003,,6,340,100,1,1,8,6700,LaughingWS quest loot: VirtualItem Cannon Activation Code (340) for Quest Objective 6700,runtime_virtual_item_loot_delivery_tested_pending_source_drop_client_smoke,not_retail_complete,Tools/DataMapping/sql/laughingws_quest_loot_seed.sql;Tools/DataMapping/extract_laughingws_quest_loot.py;wildstar_client_mysql/Quest2.tbl.sql;wildstar_client_mysql/QuestObjective.tbl.sql;Source/NexusForever.Game/Loot/GlobalLootManager.cs;Source/NexusForever.Game/Loot/LootInstanceItem.cs;Source/NexusForever.Game.Tests/Loot/LootInstanceDeliveryTests.cs,pending,"Reviewed quest-loot item for loot_group 1200000003 item type 6 staticId 340 (LaughingWS quest loot: VirtualItem Cannon Activation Code (340) for Quest Objective 6700) probability 100 count 1-1 matches VirtualCollect QuestObjective 6700 data 340. Runtime virtual-item loot delivery updates QuestObjectiveType.VirtualCollect in LootInstanceItem.cs and is test-pinned by LootInstanceDeliveryTests.cs. Retail completion still needs objective-specific source/drop trigger proof, drop chance/count behavior, inventory cleanup/persistence, and client-visible loot validation."
