# NexusForever function label map.
# Format: program,address,name,comment
# Comment lines are ignored by ApplyNexusForeverLabels.java.
# Add rows only when the function name is at least Mapped on the Evidence Ladder.
# Re-export after edits and confirm the label appears in functions.csv and selected_decompiled.c.
# program,address,name,comment
StsConnLib64.MT.dll,18000fd10,StsConn_GetTransactionName,Maps STS transaction ids to transaction names.
StsConnLib64.MT.dll,1800043d0,StsConn_SendLoginFinish,Builds /Auth/LoginFinish request fields.
StsConnLib64.MT.dll,180004950,StsConn_SendListMyAccounts,Builds /GameAccount/ListMyAccounts request fields.
StsConnLib64.MT.dll,180004ac0,StsConn_SendRequestGameToken,Builds /Auth/RequestGameToken request fields.
StsConnLib64.MT.dll,180004da0,StsConn_SendConsumeGameToken,Builds /Auth/ConsumeGameToken request fields.
StsConnLib64.MT.dll,180005010,StsConn_SendPresenceLogin,Builds presence login request fields.
StsConnLib64.MT.dll,180010780,StsConn_GetPresenceTransactionName,Maps Presence transaction ids to names; id 0x15 is Reversed, matching client operation 20021.
StsConnLib64.MT.dll,180010930,StsConn_BuildPresenceSetAppDataRequest,Builds /Presence/SetAppData request fields.
StsConnLib64.MT.dll,1800109e0,StsConn_WritePresenceUserInfoMask,Writes /Presence/GetUserInfo request mask fields such as Status Aliases AppDataSet Channels Groups Locations and ExternalAccounts.
StsConnLib64.MT.dll,180010b30,StsConn_BuildPresenceGetUserInfoRequest,Builds /Presence/GetUserInfo request fields.
StsConnLib64.MT.dll,1800067d0,StsConn_SendAssociateMyExternalAccount,Builds AssociateMyExternalAccount request fields.
StsConnLib64.MT.dll,180006fb0,StsConn_SendLoginStart,Builds /Auth/LoginStart request fields.
StsConnLib64.MT.dll,180007560,StsConn_ParseExternalAccount,Parses ExternalAccount fields.
StsConnLib64.MT.dll,180008230,StsConn_OnAuthnTokenResponse,Parses AuthnToken reply field.
StsConnLib64.MT.dll,180008c40,StsConn_ParseUserAccountFields,Parses UserId/UserCenter/UserName/LoginName/UserStatus/Created fields.
StsConnLib64.MT.dll,18000a150,StsConn_ParseRoles,Parses repeated RoleId elements under a Roles node.
StsConnLib64.MT.dll,180003d70,StsConn_SendLoginTokenStart,Builds /Auth/LoginTokenStart request with binary ClientRand.
StsConnLib64.MT.dll,180004c40,StsConn_SendRequestToken,Builds /Auth/RequestToken request with UserId and AppId.
StsConnLib64.MT.dll,18000a350,StsConn_OnKeyDataResponse,Parses SRP /Auth/KeyData reply KeyData and sends client KeyData or completes exchange.
StsConnLib64.MT.dll,18000a730,StsConn_SendTokenKeyData,Builds /Auth/TokenKeyData request fields after server key material is parsed.
StsConnLib64.MT.dll,180012de0,StsConn_ValidateTokenServerKeyMaterial,Validates ServerRand/ServerPublicKey/ServerSignature before TokenKeyData.
StsConnLib64.MT.dll,180037cb0,StsCrypt_CreateRsaClient,Allocates CptRsa client used to derive PremasterSecret for TokenKeyData.
StsConnLib64.MT.dll,18000b540,StsConn_OnConsumeGameTokenResponse,Parses ConsumeGameToken reply account fields.
StsConnLib64.MT.dll,18000d130,StsConn_ParseAliases,Parses repeated Alias elements under an Aliases node.
StsConnLib64.MT.dll,18000d560,StsConn_OnLoginFinishResponse,Parses LoginFinish reply AuthType and account fields.
StsConnLib64.MT.dll,18002ec10,StsInetSocket_ParseConnectFields,Parses Connect XML/header fields including Address/Location fallback.
StsConnLib64.MT.dll,18002f410,StsInetSocket_SendConnectEnvelope,Builds /Sts/Connect envelope fields.
StsConnLib64.MT.dll,180030d80,StsInetSocket_DispatchConnectEnvelope,Dispatches parsed /Sts/Connect envelope to the registered service.
WildStar64.exe,140001ba0,ClientCraftingAbandon_WritePayload,No-op writer shared by zero-payload world opcodes including 0x00E8 ClientDuelAccept, 0x00E9 ClientDuelDecline, 0x00EA ClientDuelForfeit, 0x00EC ClientDuelInitiate, 0x018C ClientP2PTradingAcceptInvite, 0x018F ClientP2PTradingCancelTrade, 0x0190 ClientP2PTradingCommit, 0x0191 ClientP2PTradingDeclineInvite, 0x03EC ClientRequestOwnedCommodityOrders, 0x03ED ClientRequestOwnedItemAuctions, 0x05B4 ClientMatchingQueueLeaveAll, 0x05D3 ClientMatchingMatchInitiateVoteToSurrender, 0x05DA ClientMatchingMatchLeave, 0x0602 ClientMatchingStopLookingForReplacements, 0x0606 ClientMatchingTransferIntoMatch, and 0x084D ClientCraftingAbandon; the registered one-byte object emits no payload bits.
WildStar64.exe,14007ab80,ClientRapidTransport_WritePayload,Serialises world opcode 0x0141 payload as a 14-bit node id plus a 32-bit opaque field.
WildStar64.exe,14007d010,ClientTradeskillResetTalents_WritePayload,Serialises one raw 32-bit field; reused by world opcodes including 0x0192 ClientP2PTradingInitiateTrade as target unit id, 0x0248 ClientCombatLogDisableOthers, 0x0249 ClientCombatLogDisables, 0x0550, 0x05D5 ClientMatchingMatchInitiateLookingForReplacements as the replacement-role bitmask, 0x062A, 0x0634, 0x0635, 0x07E3, 0x081C, 0x081D, and 0x0858 ClientTradeskillResetTalents as Tradeskill id.
WildStar64.exe,14007d000,ClientUInt32_ReadPayload,Reads one raw 32-bit field; registered read companion to ClientTradeskillResetTalents_WritePayload 14007d010 for opcodes including 0x0550, 0x062A, 0x0634, 0x0635, and 0x07E3.
WildStar64.exe,14007dc80,ClientCompoundTradeskillUInt32_WriteCluster,Compound outbound serializer calling ClientTradeskillResetTalents_WritePayload at object+0x30 then FUN_14007da70 at +0x38 and ClientCraftingCraftItemAutoCraft_WritePayload at +0x58; only code caller of writer 14007d010 besides registration.
